cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path_x,prediction_file,status,error,selected_model,model_path_y
NCI-H226,RandomForest,2437,2193,4386,244,526,0.337751763828516,43.01266702601394,33.106584153005464,0.5831017736960203,0.5299471310701364,10.912580728530884,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_NCI_H226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_NCI_H226.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H226.pkl
NCI-H23,CatBoost,2436,2192,4384,244,526,0.4773241982777502,41.24136545785079,29.528934663979037,0.70701360721557,0.6560934580072645,4.885976552963257,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_H23.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_H23.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H23.pkl
NCI-H322M,XGBoost,2409,2168,4336,241,526,0.3497054308137788,50.53858938861458,36.13910829707115,0.5919308311060705,0.5915049315626268,2.4767792224884038,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_NCI_H322M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_NCI_H322M.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_NCI_H322M.pkl
NCI-H460,CatBoost,2427,2184,4368,243,526,0.4660614060146933,37.03178957082978,25.623754898698188,0.6985524168139557,0.5318771206692349,4.874366521835327,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_H460.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_H460.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H460.pkl
NCI-H522,RandomForest,2389,2150,4300,239,526,0.2959072706113633,53.320802935842565,31.095485634588563,0.567107261154989,0.5677371361316198,11.09756350517273,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_NCI_H522.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_NCI_H522.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H522.pkl
NCI/ADR-RES,CatBoost,2442,2197,4394,245,526,0.3072048882977002,26.144349221695204,20.45049322552208,0.5616255583062996,0.5183928901231514,5.483961343765259,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_ADR_RES.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_ADR_RES.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_ADR_RES.pkl
OVCAR-3,RandomForest,2412,2170,4340,242,526,0.3561040611673072,50.40121050977917,34.936109917355374,0.6077039581612783,0.6239627852910355,11.045263528823853,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_OVCAR_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_OVCAR_3.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_OVCAR_3.pkl
OVCAR-4,CatBoost,2408,2167,4334,241,526,0.4202039401799328,35.421134253252816,25.808786678286214,0.6642677741134306,0.5812354715420932,5.313584327697754,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_OVCAR_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_OVCAR_4.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_4.pkl
OVCAR-5,CatBoost,2442,2197,4394,245,526,0.4243665919474779,33.026394439589154,23.27212785018729,0.655259782989141,0.680703636229621,5.000190019607544,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_OVCAR_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_OVCAR_5.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_5.pkl
OVCAR-8,XGBoost,2430,2187,4374,243,526,0.3291168305615688,39.995286070295926,29.88884004674576,0.5782619438685673,0.480837138384964,2.7317044734954834,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_OVCAR_8.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_OVCAR_8.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_OVCAR_8.pkl
PC-3,LightGBM,2436,2192,4384,244,526,0.332946034513649,31.51536452515252,23.63967935267145,0.5829560456980221,0.4662515382970307,2.9439456462860107,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_PC_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_PC_3.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_PC_3.pkl
RPMI-8226,LightGBM,2280,2052,4104,228,526,0.4632417946269714,64.62825670489083,50.28169278914999,0.6991596538550564,0.6910363068000046,2.8322057723999023,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_RPMI_8226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_RPMI_8226.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_RPMI_8226.pkl
RXF 393,CatBoost,2431,2187,4374,244,526,0.4675533687486819,41.92765230955991,32.17371285980598,0.6971568970500386,0.557540067527955,5.140542268753052,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_RXF_393.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_RXF_393.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_RXF_393.pkl
SF-268,XGBoost,2436,2192,4384,244,526,0.4427686271235935,43.74094072556641,33.16980470949021,0.6700649470641792,0.6730067751675425,2.7566490173339844,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SF_268.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SF_268.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SF_268.pkl
SF-295,CatBoost,2442,2197,4394,245,526,0.3169675527127873,34.7476382373587,25.37764075688477,0.571453930218777,0.5499174666008767,5.2705934047698975,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SF_295.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SF_295.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_295.pkl
SF-539,CatBoost,2427,2184,4368,243,526,0.4790373362197755,38.235992488235205,27.291911134602948,0.7014358671470864,0.4897912952278138,4.950055122375488,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SF_539.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SF_539.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_539.pkl
SK-MEL-2,XGBoost,2340,2106,4212,234,526,0.4139797778488497,50.6633783467762,36.70064268961677,0.6449741899837247,0.5263851010661396,2.4323549270629883,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SK_MEL_2.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SK_MEL_2.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_MEL_2.pkl
SK-MEL-28,RandomForest,2434,2190,4380,244,526,0.3780403202322491,38.91051042462868,29.512522950819672,0.6169358771266051,0.5850298772196488,10.68825101852417,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_SK_MEL_28.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_SK_MEL_28.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SK_MEL_28.pkl
SK-MEL-5,LightGBM,2425,2182,4364,243,526,0.6460638033041454,52.68849437148816,38.02998368016657,0.8046338210909781,0.763273766196346,3.409271717071533,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SK_MEL_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SK_MEL_5.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SK_MEL_5.pkl
SK-OV-3,XGBoost,2430,2187,4374,243,526,0.3360740189994737,30.52568682937453,23.89772451898934,0.5812333621184389,0.4889117267336335,2.7007429599761963,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SK_OV_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SK_OV_3.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_OV_3.pkl
SN12C,CatBoost,2435,2191,4382,244,526,0.4514342677091547,31.805544858602293,25.084241356483663,0.6777213982522727,0.5675351879347759,5.111236333847046,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SN12C.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SN12C.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SN12C.pkl
SNB-19,RandomForest,2436,2192,4384,244,526,0.3919544320993916,39.679152404294655,28.662953005464484,0.6290948658113569,0.5936348728539584,11.177207231521606,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_SNB_19.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_SNB_19.csv,success,,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SNB_19.pkl
SNB-75,CatBoost,2434,2190,4380,244,526,0.384378122983689,43.75367748394777,28.30019502525546,0.6258227065831368,0.6610501923354208,5.222634077072144,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SNB_75.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SNB_75.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SNB_75.pkl
SR,LightGBM,2396,2156,4312,240,526,0.3845983235497177,87.67523953796571,55.25682380205433,0.6215922777761561,0.6408261636331456,3.07159686088562,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SR.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SR.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SR.pkl
SW-620,LightGBM,2434,2190,4380,244,526,0.5930825429312327,37.61536037903785,28.52055626375083,0.7727146887203035,0.6826805581371849,2.675211906433105,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SW_620.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SW_620.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SW_620.pkl
T-47D,XGBoost,2416,2174,4348,242,526,0.2915741948876419,45.07708050073079,32.72338382811247,0.5414003874046437,0.4965315980612962,2.4602203369140625,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_T_47D.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_T_47D.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_T_47D.pkl
TK-10,XGBoost,2424,2181,4362,243,526,0.3319031604215432,39.7282971428767,27.31168086973207,0.5867363671421426,0.5440294385320498,2.6507341861724854,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_TK_10.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_TK_10.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_TK_10.pkl
U251,XGBoost,2433,2189,4378,244,526,0.2890887556947715,41.52765880640888,25.7957348134674,0.5382626199573282,0.4588064851236227,2.271064519882202,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_U251.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_U251.csv,success,,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_U251.pkl
UACC-257,CatBoost,2437,2193,4386,244,526,0.4884410156701489,30.42589352101789,23.843306601473767,0.7055086911364452,0.7111639581537398,5.067536115646362,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_UACC_257.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_UACC_257.csv,success,,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_UACC_257.pkl
UACC-62,LightGBM,2431,2187,4374,244,526,0.2783409113216536,41.49366349925558,31.083495620265627,0.5546594679486385,0.5072968340401987,4.415082931518555,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_UACC_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_UACC_62.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UACC_62.pkl
UO-31,LightGBM,2403,2162,4324,241,526,0.4889133224287566,28.85297270551668,21.092854798882755,0.6996398264994775,0.6720091961105928,3.3440585136413574,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_UO_31.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_UO_31.csv,success,,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UO_31.pkl
