cell_line,model,rows_total,train_rows_before_augmentation,train_rows_after_augmentation,test_rows,input_features,r2_score,rmse,mae,pearson_rp,spearman_rs,train_time_sec,model_path,prediction_file,status,error
786-0,CatBoost,2439,2195,4390,244,526,0.3418975987470231,30.885618162123706,24.368192978746684,0.5857911623913703,0.5878107056433249,5.408880233764648,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_786_0.csv,success,
A498,CatBoost,2441,2196,4392,245,526,0.4470889249707408,33.008112278016505,23.16105693636245,0.6736018571766189,0.6418284516727684,5.1621413230896,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_A498.csv,success,
A549/ATCC,LightGBM,2439,2195,4390,244,526,0.39563731600488394,29.37413351227959,21.84818570860333,0.6294803306748421,0.5845636764379171,2.669144630432129,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_A549_ATCC.csv,success,
ACHN,RandomForest,2434,2190,4380,244,526,0.37106633831680236,42.41652794390461,31.872215729898517,0.6230407795728357,0.5648796070592665,11.076157808303833,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_ACHN.csv,success,
BT-549,RandomForest,2431,2187,4374,244,526,0.3360380046480955,48.1215702980694,33.92594457455113,0.5854297024827859,0.5425939149451309,11.080331563949585,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_BT_549.csv,success,
CAKI-1,LightGBM,2436,2192,4384,244,526,0.3788728784987875,43.51260248475686,30.896800709178642,0.6226908938544526,0.597870918575682,2.7564680576324463,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_CAKI_1.csv,success,
CCRF-CEM,RandomForest,2399,2159,4318,240,526,0.38601354708509616,57.31939548409895,42.58284773809524,0.6272947375510243,0.5133320793767948,11.103960990905762,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_CCRF_CEM.csv,success,
COLO 205,CatBoost,2426,2183,4366,243,526,0.34184715882785743,47.04313505331539,35.993181072865355,0.588018710601986,0.5326709077243356,4.895819187164307,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_COLO_205.csv,success,
DU-145,XGBoost,2427,2184,4368,243,526,0.4343445729831743,44.37948171157006,27.54441234113748,0.662433266661801,0.6162303281920778,2.573967456817627,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_DU_145.csv,success,
EKVX,XGBoost,2439,2195,4390,244,526,0.5130317747452082,37.04319136612385,26.724034463040166,0.739068477690752,0.649059990292712,2.5157089233398438,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_EKVX.csv,success,
HCC-2998,LightGBM,2350,2115,4230,235,526,0.5659615556639741,43.60039380492074,31.988763246380387,0.7536378838200976,0.663851307174516,3.0053486824035645,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCC_2998.csv,success,
HCT-116,RandomForest,2437,2193,4386,244,526,0.31793825425203903,37.00118182701449,26.95483169398907,0.5755818065110765,0.46233313572141566,11.73425006866455,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HCT_116.csv,success,
HCT-15,LightGBM,2443,2198,4396,245,526,0.4258861901725073,32.410714682183844,23.18126861496066,0.6546869204381041,0.6256536931568139,2.4990625381469727,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HCT_15.csv,success,
HL-60(TB),LightGBM,2390,2151,4302,239,526,0.39082448497171296,85.10569365961092,59.679458530930695,0.6284130912736795,0.5566287371795986,2.6417360305786133,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HL_60_TB.csv,success,
HOP-62,CatBoost,2438,2194,4388,244,526,0.4426866697959222,41.83419209227736,31.197905704723713,0.6778229760143211,0.6227076504956898,4.665778875350952,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HOP_62.csv,success,
HOP-92,LightGBM,2438,2194,4388,244,526,0.30725104082468413,48.8503790379034,34.79550454364468,0.5651143871085254,0.5841237830911683,3.2440552711486816,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_HOP_92.csv,success,
HS 578T,RandomForest,2406,2165,4330,241,526,0.41258177212962677,46.928264573920586,36.539362655601664,0.6506802981400188,0.6243287212939428,10.908628225326538,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_HS_578T.csv,success,
HT29,CatBoost,2431,2187,4374,244,526,0.2578268016284956,43.616308096099324,30.383854003071537,0.5253769810994802,0.5736048434220404,4.834066152572632,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_HT29.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_HT29.csv,success,
IGROV1,LightGBM,2434,2190,4380,244,526,0.39246308399934393,31.66617725921732,24.151032323348034,0.6420338846745292,0.5928952974497824,2.7788381576538086,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_IGROV1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_IGROV1.csv,success,
K-562,LightGBM,2435,2191,4382,244,526,0.3084369698580265,44.49977316258002,33.443400736884755,0.5678415304209644,0.5475299954934351,2.9402613639831543,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_K_562.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_K_562.csv,success,
KM12,RandomForest,2400,2160,4320,240,526,0.48021647735076434,48.16171686178696,33.78403365079365,0.6965393124285097,0.7194890030500172,10.472020387649536,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_KM12.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_KM12.csv,success,
LOX IMVI,RandomForest,2410,2169,4338,241,526,0.2224118033525183,42.586623064445895,30.027639834024896,0.49551668958202877,0.509552403891261,10.546690702438354,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_LOX_IMVI.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_LOX_IMVI.csv,success,
M14,XGBoost,2425,2182,4364,243,526,0.48450417975988835,43.2148573412455,30.14067469984906,0.6968049740050442,0.611828207471374,2.3012943267822266,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_M14.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_M14.csv,success,
MALME-3M,RandomForest,2439,2195,4390,244,526,0.38210579269541334,36.86855927156636,28.642950546448088,0.6219782691906045,0.6182421755684678,10.840291500091553,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MALME_3M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MALME_3M.csv,success,
MCF7,RandomForest,2441,2196,4392,245,526,0.5513889070909517,35.8850490921133,25.9587734888241,0.745631201203823,0.6940574093534954,10.838935375213623,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MCF7.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MCF7.csv,success,
MDA-MB-231/ATCC,CatBoost,2440,2196,4392,244,526,0.43073935351100157,36.61174674332229,27.9507336824716,0.6608601008819892,0.5476259622492272,4.774915933609009,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_MDA_MB_231_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_MDA_MB_231_ATCC.csv,success,
MDA-MB-435,LightGBM,2379,2141,4282,238,526,0.4810283647743073,45.90443715702578,33.059256359801864,0.6941533676485613,0.6370138501398284,3.252553939819336,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_MDA_MB_435.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_MDA_MB_435.csv,success,
MDA-MB-468,RandomForest,2424,2181,4362,243,526,0.1722536600149961,46.15821163892587,34.34492141877327,0.44126755429514514,0.4450775240218008,10.769359588623047,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_MDA_MB_468.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_MDA_MB_468.csv,success,
MOLT-4,LightGBM,2349,2114,4228,235,526,0.3660001533614532,98.01789240684921,54.58325015156834,0.6189988712456049,0.6712330986018172,3.017275094985962,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_MOLT_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_MOLT_4.csv,success,
NCI-H226,RandomForest,2437,2193,4386,244,526,0.337751763828516,43.01266702601394,33.106584153005464,0.5831017736960203,0.5299471310701364,10.912580728530884,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_NCI_H226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_NCI_H226.csv,success,
NCI-H23,CatBoost,2436,2192,4384,244,526,0.4773241982777502,41.24136545785079,29.528934663979033,0.70701360721557,0.6560934580072645,4.885976552963257,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_H23.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_H23.csv,success,
NCI-H322M,XGBoost,2409,2168,4336,241,526,0.3497054308137788,50.53858938861458,36.13910829707115,0.5919308311060705,0.5915049315626268,2.4767792224884033,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_NCI_H322M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_NCI_H322M.csv,success,
NCI-H460,CatBoost,2427,2184,4368,243,526,0.46606140601469337,37.03178957082978,25.623754898698188,0.6985524168139557,0.5318771206692349,4.874366521835327,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_H460.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_H460.csv,success,
NCI-H522,RandomForest,2389,2150,4300,239,526,0.29590727061136335,53.320802935842565,31.095485634588563,0.567107261154989,0.5677371361316198,11.09756350517273,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_NCI_H522.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_NCI_H522.csv,success,
NCI/ADR-RES,CatBoost,2442,2197,4394,245,526,0.3072048882977002,26.144349221695204,20.45049322552208,0.5616255583062996,0.5183928901231514,5.483961343765259,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_NCI_ADR_RES.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_NCI_ADR_RES.csv,success,
OVCAR-3,RandomForest,2412,2170,4340,242,526,0.3561040611673072,50.40121050977917,34.936109917355374,0.6077039581612783,0.6239627852910355,11.045263528823853,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_OVCAR_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_OVCAR_3.csv,success,
OVCAR-4,CatBoost,2408,2167,4334,241,526,0.4202039401799328,35.421134253252816,25.808786678286218,0.6642677741134306,0.5812354715420932,5.313584327697754,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_OVCAR_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_OVCAR_4.csv,success,
OVCAR-5,CatBoost,2442,2197,4394,245,526,0.42436659194747794,33.026394439589154,23.272127850187292,0.655259782989141,0.680703636229621,5.000190019607544,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_OVCAR_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_OVCAR_5.csv,success,
OVCAR-8,XGBoost,2430,2187,4374,243,526,0.3291168305615688,39.995286070295926,29.88884004674576,0.5782619438685673,0.48083713838496406,2.7317044734954834,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_OVCAR_8.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_OVCAR_8.csv,success,
PC-3,LightGBM,2436,2192,4384,244,526,0.332946034513649,31.51536452515252,23.639679352671454,0.5829560456980221,0.46625153829703075,2.9439456462860107,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_PC_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_PC_3.csv,success,
RPMI-8226,LightGBM,2280,2052,4104,228,526,0.46324179462697146,64.62825670489083,50.28169278914999,0.6991596538550564,0.6910363068000046,2.8322057723999023,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_RPMI_8226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_RPMI_8226.csv,success,
RXF 393,CatBoost,2431,2187,4374,244,526,0.4675533687486819,41.92765230955991,32.17371285980598,0.6971568970500386,0.557540067527955,5.140542268753052,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_RXF_393.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_RXF_393.csv,success,
SF-268,XGBoost,2436,2192,4384,244,526,0.44276862712359355,43.74094072556641,33.16980470949021,0.6700649470641792,0.6730067751675425,2.7566490173339844,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SF_268.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SF_268.csv,success,
SF-295,CatBoost,2442,2197,4394,245,526,0.3169675527127873,34.7476382373587,25.377640756884766,0.571453930218777,0.5499174666008767,5.2705934047698975,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SF_295.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SF_295.csv,success,
SF-539,CatBoost,2427,2184,4368,243,526,0.4790373362197755,38.235992488235205,27.291911134602948,0.7014358671470864,0.4897912952278138,4.950055122375488,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SF_539.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SF_539.csv,success,
SK-MEL-2,XGBoost,2340,2106,4212,234,526,0.41397977784884976,50.6633783467762,36.700642689616764,0.6449741899837247,0.5263851010661396,2.4323549270629883,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SK_MEL_2.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SK_MEL_2.csv,success,
SK-MEL-28,RandomForest,2434,2190,4380,244,526,0.3780403202322491,38.910510424628676,29.512522950819672,0.6169358771266051,0.5850298772196488,10.68825101852417,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_SK_MEL_28.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_SK_MEL_28.csv,success,
SK-MEL-5,LightGBM,2425,2182,4364,243,526,0.6460638033041454,52.688494371488154,38.02998368016657,0.8046338210909781,0.763273766196346,3.409271717071533,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SK_MEL_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SK_MEL_5.csv,success,
SK-OV-3,XGBoost,2430,2187,4374,243,526,0.33607401899947376,30.52568682937453,23.89772451898934,0.5812333621184389,0.4889117267336335,2.7007429599761963,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_SK_OV_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_SK_OV_3.csv,success,
SN12C,CatBoost,2435,2191,4382,244,526,0.45143426770915474,31.805544858602293,25.084241356483666,0.6777213982522727,0.5675351879347759,5.111236333847046,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SN12C.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SN12C.csv,success,
SNB-19,RandomForest,2436,2192,4384,244,526,0.3919544320993916,39.679152404294655,28.662953005464484,0.6290948658113569,0.5936348728539584,11.177207231521606,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_randomforest_SNB_19.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_randomforest_SNB_19.csv,success,
SNB-75,CatBoost,2434,2190,4380,244,526,0.384378122983689,43.75367748394777,28.30019502525546,0.6258227065831368,0.6610501923354208,5.2226340770721436,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_SNB_75.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_SNB_75.csv,success,
SR,LightGBM,2396,2156,4312,240,526,0.3845983235497177,87.67523953796571,55.25682380205433,0.6215922777761561,0.6408261636331456,3.07159686088562,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SR.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SR.csv,success,
SW-620,LightGBM,2434,2190,4380,244,526,0.5930825429312327,37.61536037903785,28.52055626375083,0.7727146887203035,0.6826805581371849,2.6752119064331055,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_SW_620.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_SW_620.csv,success,
T-47D,XGBoost,2416,2174,4348,242,526,0.2915741948876419,45.07708050073079,32.72338382811247,0.5414003874046437,0.49653159806129626,2.4602203369140625,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_T_47D.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_T_47D.csv,success,
TK-10,XGBoost,2424,2181,4362,243,526,0.3319031604215432,39.7282971428767,27.31168086973207,0.5867363671421426,0.5440294385320498,2.6507341861724854,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_TK_10.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_TK_10.csv,success,
U251,XGBoost,2433,2189,4378,244,526,0.28908875569477155,41.52765880640888,25.7957348134674,0.5382626199573282,0.4588064851236227,2.271064519882202,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_xgboost_U251.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_xgboost_U251.csv,success,
UACC-257,CatBoost,2437,2193,4386,244,526,0.48844101567014897,30.425893521017894,23.843306601473767,0.7055086911364452,0.7111639581537398,5.067536115646362,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_catboost_UACC_257.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_catboost_UACC_257.csv,success,
UACC-62,LightGBM,2431,2187,4374,244,526,0.2783409113216536,41.49366349925558,31.083495620265627,0.5546594679486385,0.5072968340401987,4.415082931518555,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_UACC_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_UACC_62.csv,success,
UO-31,LightGBM,2403,2162,4324,241,526,0.4889133224287566,28.852972705516677,21.092854798882755,0.6996398264994775,0.6720091961105928,3.3440585136413574,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\step5_lightgbm_UO_31.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\results\step5_predictions_lightgbm_UO_31.csv,success,
