cell_line,safe_cell_line,selected_model,model_path,feature_columns_file,input_features
786-0,786_0,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_786_0.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
A498,A498,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_A498.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
A549/ATCC,A549_ATCC,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_A549_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
ACHN,ACHN,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_ACHN.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
BT-549,BT_549,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_BT_549.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
CAKI-1,CAKI_1,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_CAKI_1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
CCRF-CEM,CCRF_CEM,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_CCRF_CEM.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
COLO 205,COLO_205,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_COLO_205.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
DU-145,DU_145,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_DU_145.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
EKVX,EKVX,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_EKVX.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HCC-2998,HCC_2998,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCC_2998.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HCT-116,HCT_116,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HCT_116.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HCT-15,HCT_15,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HCT_15.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HL-60(TB),HL_60_TB,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HL_60_TB.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HOP-62,HOP_62,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HOP_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HOP-92,HOP_92,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_HOP_92.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HS 578T,HS_578T,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_HS_578T.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
HT29,HT29,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_HT29.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
IGROV1,IGROV1,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_IGROV1.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
K-562,K_562,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_K_562.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
KM12,KM12,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_KM12.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
LOX IMVI,LOX_IMVI,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_LOX_IMVI.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
M14,M14,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_M14.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MALME-3M,MALME_3M,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MALME_3M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MCF7,MCF7,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MCF7.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MDA-MB-231/ATCC,MDA_MB_231_ATCC,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_MDA_MB_231_ATCC.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MDA-MB-435,MDA_MB_435,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MDA_MB_435.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MDA-MB-468,MDA_MB_468,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_MDA_MB_468.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
MOLT-4,MOLT_4,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_MOLT_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI-H226,NCI_H226,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI-H23,NCI_H23,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H23.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI-H322M,NCI_H322M,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_NCI_H322M.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI-H460,NCI_H460,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_H460.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI-H522,NCI_H522,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_NCI_H522.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
NCI/ADR-RES,NCI_ADR_RES,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_NCI_ADR_RES.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
OVCAR-3,OVCAR_3,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_OVCAR_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
OVCAR-4,OVCAR_4,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_4.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
OVCAR-5,OVCAR_5,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_OVCAR_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
OVCAR-8,OVCAR_8,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_OVCAR_8.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
PC-3,PC_3,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_PC_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
RPMI-8226,RPMI_8226,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_RPMI_8226.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
RXF 393,RXF_393,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_RXF_393.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SF-268,SF_268,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SF_268.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SF-295,SF_295,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_295.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SF-539,SF_539,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SF_539.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SK-MEL-2,SK_MEL_2,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_MEL_2.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SK-MEL-28,SK_MEL_28,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SK_MEL_28.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SK-MEL-5,SK_MEL_5,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SK_MEL_5.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SK-OV-3,SK_OV_3,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_SK_OV_3.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SN12C,SN12C,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SN12C.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SNB-19,SNB_19,RandomForest,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_randomforest_SNB_19.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SNB-75,SNB_75,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_SNB_75.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SR,SR,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SR.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
SW-620,SW_620,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_SW_620.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
T-47D,T_47D,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_T_47D.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
TK-10,TK_10,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_TK_10.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
U251,U251,XGBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_xgboost_U251.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
UACC-257,UACC_257,CatBoost,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_catboost_UACC_257.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
UACC-62,UACC_62,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UACC_62.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
UO-31,UO_31,LightGBM,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\models\final_step6_lightgbm_UO_31.pkl,C:\Users\HP\Desktop\SDP 27 april\nci_almanac_v3\data\step6_final_model_feature_columns.json,526
